X1;review_content;
17640;A big, flashy, unguided spoof that wanders around and bores you to sleep.;
17641;So bizarre, so wrongheaded, and so overblown that it's actually enjoyable.;
17642;Note to filmmakers: If you want to spoof something, at least make sure you're outdoing your source material on the comedy front.;
17643;Despite a ton of stars, a flock of directors, and more Bonds than you can shake a martini at, the movie is close to a complete disaster.;
17644;There is a razor thin line between being funny and being stupid.;
17645;NA;
17646;NA;
17647;NA;
17648;NA;
17649;It's a spoof that went places even James Bond feared to tread.;
17650;Audiences generally will find this an undisciplined, loosely done, hectic free-for-all that is completely confusing.;
17651;It may, in fact, be the first post-modern comedy, but it feels more good-natured than snarky -- and there's an undercurrent of true British satire here.;
17652;Profoundly unamusing bore.;
17653;...a definitive example of what can happen when everybody working on a film goes simultaneously berserk.;
17654;Even more awful considering the wasted talents.;
17655;NA;
17656;Watching this movie is a serious drag.;
17657;It's the sort of reckless, disconnected nonsense that could be telescoped or stopped at any point.;
17658;...only a very small minority of those acquainted with the more arcane aspects of <DATE>1960s</DATE> cinema are going to have some appreciation for CASINO ROYALE.;
17659;Even less amusing than the more 'serious' Bond films.;
17660;The few good aspects of this farce are vastly outweighed by the bad.;
17661;It's cheesy, cheesy, cheesy.;
17662;No less than five directors, including <PERSON>John Huston</PERSON>, and eight writers, including <PERSON>Billy Wilder</PERSON> and <PERSON>Ben Hecht</PERSON>, tried to salvage this lengthy, laden all-star Bond spoof--to no avail.;
17663;Now <PERSON>Craig</PERSON> assumes the mantle, and you know, he does OK.;
17664;<PERSON>Peter Sellers</PERSON> has some amusing gags as the gambler, the chance of dressing up in various guises and a neat near-seduction scene with <PERSON>Ursula Andress</PERSON>.;
17665;A mess. Casino Royale is two hours and eleven minutes of non sequitur.;
17666;Out of five directors -- only <ORGANIZATION>McGrath</ORGANIZATION> manages to connect with this brontosaurian James Bond parody.;
17667;Surrealisticly bad;
17668;Chaotic and astonishingly unfunny.;
17669;Despite being not officially a Bond film this is good solid, entertaining action.;
17670;Poor 007 is now lost in a hall of distorting mirrors.;
17671;Silly 007 spoof tamer than <ORGANIZATION>Austin Powers</ORGANIZATION>.;
17672;A magnificent mess, it's either the greatest argument against LSD or the worst.;
17673;Proponents of this dreadfully indulgent cabaret, which thumbs its nose at coherence, have called its nigh-impenetrable plot the sincerest form of satire. That's like citing the indecipherable nature of Zapf Dingbats as a foremost send-up of language.;
17674;A surfeit of screenwriters (eight, including <PERSON>Billy Wilder</PERSON>) and directors (five, including <PERSON>John Huston</PERSON>) lends the whole a chaotic, disjointed air, but there is much fun to be had along the way.;
17675;The melodrama has been staged on a lavish scale and everybody quite literally acts out the window.;
17676;Things pick up a little bit when <LOCATION>Orson Welles</LOCATION>, <PERSON>Peter Sellers</PERSON>, and <PERSON>Woody Allen</PERSON> stumble into the scene, but the total experience remains boringly incoherent.;
17677;If <LOCATION>Casino Royale</LOCATION> has what passes for its heart set on dealing the final death-blow to a n over-worked legend, how sad that it didn't perform the necessary obsequies with style.;
17678;I cannot even recommend the film in any half-hearted manner. It's insulting to moviegoers, it's insulting to me, and it's insulting to Bond.;
17679;A few innovative sets, a wealth of eye-popping colors, and oodles of bared midriffs can't redeem this juvenile experiment in adolescent fantasy.;
227341;<PERSON>Daniel Craig</PERSON> is the best Bond since <PERSON>Connery</PERSON>.;
227342;<PERSON>Daniel Craig</PERSON> is probably the best and most serious actor to have been cast as 007 and this film makes full use of his range.;
227343;You'll be shaken. You'll be stirred. Heck, you'll be blown away.;
227344;This is a prototype Bond we have never seen before. It seems we have underestimated you, Mr <PERSON>Craig</PERSON>.;
227345;By the end of a curiously back-to-front film, when he finally gets his theme tune and introduces himself -- 'Bond. James Bond' -- he, like the creaky franchise itself, seems profoundly unsure whether he is coming or going.;
227346;Contrary to pre-release nay-sayers, <PERSON>Daniel Craig</PERSON> has done more with James Bond in one film than some previous stars have in multiple reprises. This is terrific stuff, again positioning 007 as the action franchise to beat.;
