source,target,type,attribute
375,175,Type_B,2.5
473,332,Type_C,2.42
256,483,Type_B,1.86
115,215,Type_A,2.15
403,273,Type_A,2.68
181,309,Type_A,3.07
217,348,Type_C,1.01
50,91,Type_B,1.85
442,466,Type_A,2.51
14,168,Type_B,2.55
71,150,Type_A,1.92
258,156,Type_C,3.5
169,456,Type_B,2.29
106,107,Type_A,1.11
274,365,Type_C,2.0
96,99,Type_B,0.89
158,419,Type_A,1.43
3,136,Type_A,0.72
223,139,Type_C,2.49
440,24,Type_B,1.1
432,169,Type_B,2.16
92,366,Type_A,2.19
487,221,Type_C,3.3
159,276,Type_C,1.97
191,79,Type_A,3.34
66,84,Type_C,2.84
374,200,Type_A,1.13
416,282,Type_B,1.13
122,213,Type_B,2.54
343,69,Type_C,0.59
174,260,Type_C,2.76
224,377,Type_B,2.35
52,5,Type_B,1.0
311,265,Type_B,1.02
122,478,Type_C,1.13
214,332,Type_B,3.3
282,58,Type_C,2.64
225,198,Type_C,1.52
460,101,Type_C,2.2
160,68,Type_B,0.99
100,468,Type_A,3.46
389,427,Type_A,1.37
387,237,Type_C,3.49
222,429,Type_C,0.59
377,43,Type_C,1.51
400,472,Type_C,2.98
280,147,Type_A,1.72
224,66,Type_A,3.16
308,474,Type_A,2.28
377,79,Type_C,1.78
350,62,Type_C,2.53
409,377,Type_A,2.93
90,251,Type_A,3.46
431,135,Type_B,2.39
206,462,Type_A,1.04
95,222,Type_B,1.71
335,203,Type_C,2.93
350,39,Type_B,3.45
463,245,Type_C,2.25
232,312,Type_B,3.11
380,247,Type_B,1.23
291,398,Type_B,1.27
212,254,Type_C,2.34
392,450,Type_A,0.55
447,237,Type_C,2.58
346,334,Type_B,1.39
464,326,Type_C,2.74
253,371,Type_B,1.76
333,251,Type_C,2.02
468,67,Type_B,2.13
84,190,Type_C,0.65
132,117,Type_C,1.31
279,136,Type_B,1.81
305,274,Type_A,1.6
304,458,Type_C,2.66
61,322,Type_C,2.99
67,402,Type_C,0.95
20,290,Type_A,2.82
205,452,Type_B,2.22
407,321,Type_C,1.84
432,5,Type_C,2.05
355,167,Type_C,1.87
358,321,Type_A,1.27
262,469,Type_A,1.83
390,209,Type_A,2.56
389,430,Type_A,0.84
369,186,Type_C,0.65
289,77,Type_A,1.96
433,207,Type_A,1.45
